date,max_temp,time,min_temp,time,max_humidity,time,min_humidity,time,avg_wind_speed (km/h),avg_wind_direction,rain,max_soil_temp,min_soil_temp,solar_rad
2020-10-04T00:00:00,28.7,2020-10-04T15:00:16,9.3,2020-10-04T05:40:16,86,2020-10-04T05:49:52,32,2020-10-04T13:10:24,16.1,78.5,0,23.4,19.8,177
2020-10-05T00:00:00,15.7,2020-10-05T00:00:00,8.8,2020-10-05T05:49:52,93,2020-10-05T05:20:00,75,2020-10-05T00:00:00,5,114.2,0,21.6,20,2
2020-10-06T00:00:00,30.7,2020-10-06T14:40:00,11.7,2020-10-06T06:10:08,84,2020-10-06T06:10:08,28,2020-10-06T15:30:08,12.9,86.6,0,24.8,19.9,246
2020-10-07T00:00:00,30.1,2020-10-07T14:40:00,10.4,2020-10-07T05:40:16,85,2020-10-07T05:20:00,27,2020-10-07T15:50:24,12.7,89.3,0,24.9,20.7,183
2020-10-08T00:00:00,31.9,2020-10-08T14:40:00,14.5,2020-10-08T04:00:00,77,2020-10-08T04:59:44,30,2020-10-08T14:19:44,8.8,100,0,24.9,21.4,149
2020-10-09T00:00:00,30.6,2020-10-09T13:10:24,14.2,2020-10-09T23:50:24,70,2020-10-09T03:50:24,22,2020-10-09T17:49:52,10.4,234,0,25.5,21.4,195
2020-10-10T00:00:00,13.9,2020-10-10T00:09:36,7.8,2020-10-10T05:29:36,63,2020-10-10T05:29:36,46,2020-10-10T03:20:32,7.7,186.5,0,22.9,20.8,2
2020-10-11T00:00:00,30.7,2020-10-11T14:00:32,12.6,2020-10-11T06:02:40,78,2020-10-11T06:02:40,26,2020-10-11T16:20:16,11.3,94.2,0,25.8,21.1,169
2020-10-12T00:00:00,28,2020-10-12T14:00:32,15.5,2020-10-12T05:49:52,80,2020-10-12T05:49:52,32,2020-10-12T14:10:08,14.6,95.3,0,24.6,22.2,112
2020-10-13T00:00:00,27.1,2020-10-13T15:20:32,12.2,2020-10-13T05:29:36,86,2020-10-13T05:40:16,36,2020-10-13T15:20:32,12.3,129.6,0,24.8,21.4,146
2020-10-14T00:00:00,27.2,2020-10-14T15:50:24,8.3,2020-10-14T04:50:08,87,2020-10-14T04:29:52,27,2020-10-14T15:39:44,11.3,133.2,0,23.9,20.4,130
2020-10-15T00:00:00,28.2,2020-10-15T15:39:44,8.8,2020-10-15T05:20:00,86,2020-10-15T05:29:36,30,2020-10-15T15:30:08,11.2,98.8,0,24.3,20.2,158
2020-10-16T00:00:00,32.7,2020-10-16T15:50:24,9.3,2020-10-16T05:20:00,85,2020-10-16T04:50:08,19,2020-10-16T15:00:16,7.4,147.6,0,26.2,20.5,167
2020-10-17T00:00:00,31.4,2020-10-17T14:10:08,13.1,2020-10-17T05:10:24,77,2020-10-17T05:29:36,24,2020-10-17T14:49:36,11.9,64.5,0,25.9,22.1,156
2020-10-18T00:00:00,31,2020-10-18T13:49:52,11.9,2020-10-18T04:50:08,92,2020-10-18T22:19:44,28,2020-10-18T14:49:36,17.4,227.3,0.2,25.6,22.2,143
2020-10-19T00:00:00,25.9,2020-10-19T15:09:52,11.2,2020-10-19T03:20:32,97,2020-10-19T05:40:16,43,2020-10-19T15:20:32,9.6,217,0,23.7,21.1,204
